SMILES_RepeatUnit_1,SMILES_Monomer_0,MD,RepeatUnit_1_MFF_GPR,RepeatUnit_1_MFF_Lasso,RepeatUnit_1_MFF_RF,RepeatUnit_1_MFF_SVM,RepeatUnit_1_MFF_DNN,RepeatUnit_1_MFF_CNN,RepeatUnit_1_MF_GPR,RepeatUnit_1_MF_Lasso,RepeatUnit_1_MF_RF,RepeatUnit_1_MF_SVM,RepeatUnit_1_MF_DNN,RepeatUnit_1_MF_CNN,RepeatUnit_1_ME_GPR,RepeatUnit_1_ME_Lasso,RepeatUnit_1_ME_RF,RepeatUnit_1_ME_SVM,RepeatUnit_1_ME_DNN,RepeatUnit_1_ME_CNN,RepeatUnit_1_Descriptor_GPR,RepeatUnit_1_Descriptor_Lasso,RepeatUnit_1_Descriptor_RF,RepeatUnit_1_Descriptor_SVM,RepeatUnit_1_Descriptor_DNN,RepeatUnit_1_Descriptor_CNN,Polymerized_16_ME_GPR,Polymerized_16_ME_Lasso,Polymerized_16_ME_RF,Polymerized_16_ME_SVM,Polymerized_16_ME_DNN,Polymerized_16_ME_CNN,Polymerized_16_Descriptor_GPR,Polymerized_16_Descriptor_Lasso,Polymerized_16_Descriptor_RF,Polymerized_16_Descriptor_SVM,Polymerized_16_Descriptor_DNN,Polymerized_16_Descriptor_CNN,Polymerized_16_MFF_GPR,Polymerized_16_MFF_Lasso,Polymerized_16_MFF_RF,Polymerized_16_MFF_SVM,Polymerized_16_MFF_DNN,Polymerized_16_MFF_CNN,Polymerized_16_MF_GPR,Polymerized_16_MF_Lasso,Polymerized_16_MF_RF,Polymerized_16_MF_SVM,Polymerized_16_MF_DNN,Polymerized_16_MF_CNN,Monomer_0_MFF_GPR,Monomer_0_MFF_Lasso,Monomer_0_MFF_RF,Monomer_0_MFF_SVM,Monomer_0_MFF_DNN,Monomer_0_MFF_CNN,Monomer_0_MF_GPR,Monomer_0_MF_Lasso,Monomer_0_MF_RF,Monomer_0_MF_SVM,Monomer_0_MF_DNN,Monomer_0_MF_CNN,Monomer_0_ME_GPR,Monomer_0_ME_Lasso,Monomer_0_ME_RF,Monomer_0_ME_SVM,Monomer_0_ME_DNN,Monomer_0_ME_CNN,Monomer_0_Descriptor_GPR,Monomer_0_Descriptor_Lasso,Monomer_0_Descriptor_RF,Monomer_0_Descriptor_SVM,Monomer_0_Descriptor_DNN,Monomer_0_Descriptor_CNN,Monomer_0_CNN,RepeartUnit_1_CNN,Monomer_0_RNN,RepeartUnit_1_RNN,GCNN_Monomer,GCNN_RepeatUnit_1,GCNN_Polymerized_16
*C1COC2C1OCC2Oc1ccc(cc1)CNC(=O)CCCCCCC(=O)NCc1ccc(cc1)O*,ClC(=O)CCCCCCC(=O)Cl.[H][C@]4(Oc1ccc(CN)cc1)COC3[C@H](Oc2ccc(CN)cc2)COC34,21.58173134,78.96,144.50,93.62,146.75,112.37,116.08,80.05,108.48,69.20,98.81,111.75,95.63,77.25,131.34,91.36,107.97,116.57,124.27,59.08,131.07,80.73,115.94,116.28,119.70,83.49,126.52,89.31,107.21,103.14,111.81,64.36,113.99,84.35,116.13,118.28,116.70,82.73,134.04,85.88,147.67,105.59,101.42,83.89,105.94,62.70,96.50,114.65,122.72,93.06,112.88,83.64,101.76,107.86,112.08,91.96,90.65,74.93,77.37,99.61,92.99,82.64,74.11,82.70,47.89,95.90,86.01,69.70,111.01,73.62,107.69,89.60,108.58,67.84,80.51,36.14,105.26,66.91,99.59,118.61
*OC(CCC(OC(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)*)C)C,CC(O)CCC(C)O.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,63.5893379,89.90,83.56,99.27,91.86,98.16,91.96,81.16,117.54,99.04,129.86,131.88,129.54,72.03,61.76,104.52,45.03,89.86,103.56,103.74,136.33,92.81,136.24,108.21,117.52,92.29,84.09,107.69,83.90,81.40,109.05,109.50,136.03,92.07,128.98,117.05,128.74,86.66,82.53,91.67,88.77,79.72,88.36,68.09,116.28,84.96,123.40,139.97,114.40,85.34,86.51,76.84,78.23,87.18,115.89,107.57,130.48,86.79,114.65,119.53,125.53,111.65,130.53,92.34,85.63,91.02,95.67,61.25,88.53,89.20,96.26,93.29,84.91,99.15,91.72,123.04,86.96,101.94,59.17,46.96
*OC(=O)c1ccc(cc1)C(=O)OCCCC(=O)NCc1ccc(cc1)CNC(=O)CCC*,,53.55726117,82.10,58.09,85.30,61.87,79.52,72.76,53.37,47.73,49.52,46.58,31.82,60.52,112.00,93.25,70.09,77.41,91.45,118.39,94.39,104.48,71.62,107.79,80.20,89.50,109.84,107.86,76.23,96.30,111.79,98.23,81.35,88.07,73.83,98.71,77.53,81.45,74.35,73.12,79.36,74.76,90.70,74.73,47.67,48.56,55.94,46.69,55.90,70.37,,,,,,,,,,,,,,,,,,,,,,,,,,86.50,,92.55,,91.18,65.63
*OC(=O)NCCNC(=O)OCC*,NCCN.ClC(=O)OCCOC(=O)Cl,5.896093021,16.13,43.39,39.66,59.72,34.54,21.53,54.49,16.76,31.84,15.31,20.96,31.76,16.01,50.01,65.22,60.44,12.03,53.25,60.87,58.29,40.29,66.55,38.65,38.55,18.73,56.05,22.99,62.98,38.21,17.02,59.96,71.83,30.31,68.95,39.59,52.10,16.88,57.05,42.26,68.80,28.64,23.45,50.62,21.07,29.30,19.15,28.17,24.87,48.15,99.37,72.46,97.26,93.29,47.08,93.68,58.60,69.77,49.70,57.36,54.02,91.97,81.47,67.74,83.87,83.46,64.78,53.96,86.11,72.97,84.09,76.04,69.80,74.53,54.39,70.09,28.05,60.06,72.45,32.03
*SCCCCC*,C1CCSCCCCCSCC1,-55.37860961,-31.05,41.37,-52.26,46.08,-5.06,-6.85,-50.88,0.01,-57.01,-5.21,-20.55,-14.14,-51.00,33.50,-45.67,39.50,-39.83,-43.18,-39.22,-26.25,-47.44,-24.70,-0.85,-25.09,-66.37,45.46,-55.48,48.22,-12.44,-74.93,-72.36,-14.86,-53.74,-16.78,-10.10,-63.73,-26.81,46.38,-52.97,50.38,-13.66,0.40,-52.14,0.95,-58.52,-3.29,-2.52,-15.10,-24.67,46.91,-20.92,51.46,-4.25,25.10,-48.70,15.20,-29.48,19.78,9.64,-17.58,-70.65,-73.13,20.31,-131.43,-83.37,-67.24,-36.75,-15.24,-28.78,-16.59,-27.36,-10.13,-48.23,-62.94,-23.29,-50.63,-86.05,-56.86,-64.15
*Oc1ccc(cc1)C(=O)OC(=O)c1ccc(cc1)OCCCCCC*,OC(=O)c1ccc(OCCCCCCOc2ccc(cc2)C(=O)O)cc1,64.73496741,49.53,77.61,50.51,72.66,72.13,48.91,50.26,59.65,56.59,56.04,57.32,55.01,47.38,63.24,43.35,48.93,44.89,66.54,43.57,86.74,54.75,84.29,49.92,52.05,45.00,82.87,41.57,63.15,55.29,48.63,57.47,77.92,53.83,79.64,61.27,53.60,46.56,76.99,51.10,67.55,52.88,50.50,53.84,58.61,58.14,56.32,64.78,59.10,43.52,79.95,52.36,67.71,62.82,58.16,44.42,51.41,44.32,45.00,55.74,38.99,47.22,86.21,56.14,87.65,52.04,72.16,39.67,73.23,54.92,77.87,50.68,59.32,61.84,54.14,48.75,59.58,20.70,71.68,23.59
*c1[nH]c(cc1CC(=O)OCCCCCCCC)*,,-4.076963699,11.56,66.35,39.76,57.28,14.32,31.52,7.08,43.11,48.88,30.58,33.58,42.52,40.50,62.34,14.86,61.44,3.06,45.76,50.14,71.18,36.06,63.13,44.23,63.19,47.07,64.55,28.48,62.32,31.41,28.93,43.79,59.50,32.74,57.65,49.39,35.50,17.42,58.27,43.81,55.40,15.44,30.83,10.74,38.83,38.67,26.69,41.97,37.31,,,,,,,,,,,,,,,,,,,,,,,,,,64.80,,53.86,,81.17,55.66
*C(C*)(CC(=O)OCCCCCCCCCC)C(=O)OCCCCCCCCCC,CCCCCCCCCCOC(=O)CC(=C)C(=O)OCCCCCCCCCC,75.04044311,-37.98,-32.51,-27.93,-39.75,-2.20,-18.92,-18.90,-14.25,-26.45,-18.37,21.62,-10.21,-47.71,-26.10,-28.85,-34.95,-10.42,27.28,-41.43,-31.63,-12.08,-37.42,-0.68,-23.98,-37.61,-19.74,-27.88,-31.13,-39.48,-15.11,-49.85,-32.48,-29.28,-24.49,-26.87,-11.05,-31.18,-39.54,-27.88,-46.87,-10.79,-10.91,-17.25,-13.41,-29.99,-17.18,5.22,-7.99,-30.60,-14.13,-29.68,-15.23,-17.48,-5.25,-27.40,-8.36,-28.81,-18.70,2.84,-11.04,-52.49,8.34,-18.48,-0.26,-29.13,-4.37,-45.97,-14.85,-2.53,-19.67,-2.79,-4.51,-5.01,-10.63,4.49,-15.92,-34.80,-27.67,3.85
*OCC1C(C1)C*,C1CC12COC2,-28.98581149,33.39,65.73,23.17,68.46,45.78,38.81,56.60,36.09,69.94,33.42,75.00,61.49,47.70,90.39,58.47,74.16,33.70,66.18,5.33,9.61,97.33,2.92,39.05,46.04,20.89,87.92,39.65,81.66,43.29,16.34,22.64,8.27,79.62,17.05,36.48,37.33,28.45,79.43,37.37,85.20,21.88,29.36,57.87,38.04,88.41,32.41,32.44,53.93,12.26,71.76,-18.92,68.84,43.81,39.22,-11.28,42.50,-14.99,48.87,37.57,4.84,-14.97,45.83,26.24,41.20,34.12,-56.67,14.74,-3.61,10.00,-2.02,-5.68,23.07,40.32,86.22,77.12,4.15,10.83,73.20,46.55
*N(C(=O)CCCCCCCCCCCCCCCCC(=O)N(CCCCCC*)C)C,CNCCCCCCNC.OC(=O)CCCCCCCCCCCCCCCCC(=O)O,49.34222836,19.52,-12.90,32.81,-21.74,10.21,5.96,-2.71,14.41,24.86,10.88,-8.31,11.15,7.54,-31.38,4.26,-38.34,9.93,39.09,43.80,-14.03,-4.67,-12.21,1.92,-3.10,17.44,-32.56,21.60,-40.38,-33.12,9.68,-2.69,-18.72,24.35,-20.13,-5.18,5.51,13.67,-9.50,39.13,-15.29,6.75,23.61,-5.84,11.38,20.39,11.23,12.20,15.12,36.61,-14.38,13.68,-5.95,33.21,20.17,30.67,0.35,10.14,-3.57,5.12,33.88,13.95,-16.77,9.93,-30.18,8.26,25.73,-19.69,-36.55,12.14,-20.69,-12.82,-43.45,-15.47,-5.82,15.71,55.21,3.27,-6.27,0.36
